Name,Date,Location,Type,Region,Latitude,Longitude,Weather
BabyTron,2/1/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Battlestar Kalakala,2/1/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,,Weather data not available
Exceptional Failures,2/1/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,,Weather data not available
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,,Weather data not available
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,,Weather data not available
Public Theatre,2/1/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,"Rain. Cloudy, with a high near 56. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Poolside,2/2/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
