Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Black and Boujee,Now through 2/20/2024,Bainbridge Island Museum of Art,Museums,West,,,Weather data not available
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,,,Weather data not available
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Trask,2/20/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,,,Weather data not available
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Bailen,2/22/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,47.624004299999996,-122.3494506540469,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Wreckno,2/23/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,47.61467195,-122.3217419,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown,,,Weather data not available
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,,,Weather data not available
Born With Teeth,2/1/2024 through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,,,Weather data not available
"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,47.6821341,-122.3398325,"Rain. Cloudy, with a high near 54. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,,,Weather data not available
Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Telling the Story,2/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Cherry Glazerr,2/26/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Dick & Angel Dare to Do It,2/26/2024,The Paramount Theatre,Theatre,Downtown,,,Weather data not available
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West,,,Weather data not available
Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown,47.5989361,-122.3279543,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
JNA and Tavia Rhodes,2/29/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Julian Lage,2/29/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
MarchFourth,2/29/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,47.6012977,-122.30982515103054,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Enjambre,3/1/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Global Rhythms: Justin Adams and Mauro Durante,3/1/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Sloane Crosley with Ben Gibbard,3/1/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South,,,Weather data not available
Tommy Emmanuel,3/1/2024,The Moore Theatre,Music,Downtown,,,Weather data not available
Facades,2/1/2024 through 3/2/2024,Harris Harvey Gallery,Visual Arts & Galleries,Downtown,,,Weather data not available
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Crypta,3/2/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Sounders FC vs. Austin FC,3/2/2024,Lumen Field,Sports,Pioneer Square,47.5953459,-122.33164431196111,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown,47.61175385,-122.33156275066185,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Briscoe,3/3/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South,,,Weather data not available
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West,,,Weather data not available
Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Ariel Pink,3/9/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District,,,Weather data not available
Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside,,,Weather data not available
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,"Rain. Cloudy, with a high near 54. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Autoheart,3/15/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
The Snuts,3/15/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024,Meany Center for the Performing Arts,Music,University District,,,Weather data not available
Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South,,,Weather data not available
Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Sounders FC vs. Colorado Rapids,3/16/2024,Lumen Field,Sports,Pioneer Square,47.5953459,-122.33164431196111,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South,,,Weather data not available
Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South,,,Weather data not available
Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District,47.5982461,-122.3228705,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Rootabaga Country,3/8/2024 through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center,47.624004299999996,-122.3494506540469,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Tacoma Stars vs. Empire Strykers,3/23/2024,accesso ShoWare Center,Sports,South,,,Weather data not available
Something’s Afoot,3/1/2024 through 3/24/2024,The 5th Avenue Theatre,Theatre,Downtown,,,Weather data not available
One Thousand Pieces,3/15/2024 through 3/24/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,"Rain. Cloudy, with a high near 55. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Monster Jam,3/30/2024,Lumen Field,Festivals & Special Events,Pioneer Square,47.5953459,-122.33164431196111,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South,,,Weather data not available
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Shine On Seattle,Now through 3/31/2024,Pioneer Square,Festivals & Special Events,Pioneer Square,47.6027217,-122.3313539,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Sanctuary City,3/1/2024 through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,,,Weather data not available
Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center,47.624004299999996,-122.3494506540469,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Jo Koy,4/5/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,47.6219014,-122.353990491486,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
